Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;Localita;forma_vendita_edicole;vendita_esclusiva;MUNICIPIO;LONGIT;LATIT;Location
C-ED/654;Via CARDUCCI GIOSUE' num.000 fr.civ. 38 ang. via s. vittore| (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Via CARDUCCI GIOSUE';;602;NUM.000 fr.civ. 38 ang. via s. vittore|;edicola su suolo pubblico;Si;;;;
C-ED/655;Piazza NAPOLI fr. civ. 27| (z.d. 6);AREE PUBBLICHE - Giornali e riviste;Piazza NAPOLI;;5131;fr. civ. 27|;edicola su suolo pubblico;Si;;;;
C-ED/657;Via BIONDI EZIO N. 4 ang. corso sempione (z.d. 8);AREE PUBBLICHE - Giornali e riviste;Via BIONDI EZIO;4;7186;ang. Corso Sempione;edicola su suolo pubblico;Si;8;9.16002975699575;45.4866506454723;45.4866506454723, 9.16002975699575
C-ED/658;Via ANTONINI GIACOMO N. 50 (z.d. 5);AREE PUBBLICHE - Giornali e riviste;Via ANTONINI GIACOMO;50;4250;;edicola su suolo pubblico;Si;5;9.19497637935;45.4370809528;45.4370809528, 9.19497637935
C-ED/662;Piazza BONOMELLI GEREMIA N. 4 viale brenta| (z.d. 5);AREE PUBBLICHE - Giornali e riviste;Piazza BONOMELLI GEREMIA;4;4150;viale brenta|;edicola su suolo pubblico;Si;4;9.21389185166;45.4413106166;45.4413106166, 9.21389185166
ED/2893;VIA MATTEUCCI CARLO N. 5 lato scuola materna (z.d. 3);AREE PUBBLICHE - Giornali e riviste;VIA MATTEUCCI CARLO;5;2167;lato scuola materna;edicola su suolo pubblico;Si;3;9.21641240171747;45.4813195479991;45.4813195479991, 9.21641240171747
C-ED/2250;Piazza FRATTINI PIETRO N. 4 (z.d. 6);AREE PUBBLICHE - Giornali e riviste;Piazza FRATTINI PIETRO;4;5389;;rivendita in supermercato;No;6;9.14303886844;45.4524300924;45.4524300924, 9.14303886844
C-ED/2251;Via MARIANI POMPEO N. 2 (z.d. 2);AREE PUBBLICHE - Giornali e riviste;Via MARIANI POMPEO;2;2490;;rivendita in supermercato;No;2;9.2306831103;45.5105249914;45.5105249914, 9.2306831103
C-ED/2256;Via DOMENICHINO N. 2 (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Via DOMENICHINO;2;6383;;rivendita in supermercato;No;7;9.15005352208;45.4739228123;45.4739228123, 9.15005352208
C-ED/2258;Viale ZARA N. 123 (z.d. 9);AREE PUBBLICHE - Giornali e riviste;Viale ZARA;123;1170;;rivendita in supermercato;No;9;9.19602276851;45.4989964958;45.4989964958, 9.19602276851
